Job_title,Company,Job_posted_date,Link,Matching_percentage,Logo,Location,Job_description,Salary_range,Category
Junior Data Engineer (US),Fitness Matrix Inc,2023-12-25,https://www.linkedin.com/jobs/view/3793120666,0.0,https://media.licdn.com/dms/image/D4E0BAQGmk8ZefBUxLg/company-logo_100_100/0/1698352894604/fitness_matrix_inc_logo?e=2147483647&v=beta&t=72cgj7Ot5k670-7oCMGX7QoHQoicVzzbGuWzPstPuXw,"Philadelphia, PA","<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
<strong>Junior Data Engineer (US) - Onsite<br/><br/></strong><strong>Full-time<br/><br/></strong><strong>$66K - $77K per annum<br/><br/></strong><strong>1+ Year Experience Required<br/><br/></strong><strong>Introduction:<br/><br/></strong>FitnessMatrixInc is a unique approach to health and wellness that is based on the principle of bio-individuality. This means that we believe that everyone is different and has their own unique needs and challenges. We will work with you to understand your biochemistry and develop a personalized plan that is right for you.<br/><br/><strong>Position Summary<br/><br/></strong>Join the fast-paced, innovative, and collaborative environment focused on providing an AIOps platform that enhances the intelligence of the CVS Health infrastructure. Work closely with subject matter experts and colleagues to build and scale out machine learning and AI solutions that will detect, predict, and recommend solutions to correct issues before system impact and enhance the efficiency, reliability, and performance of CVS Health’s IT operations.<br/><br/><strong>Key Responsibilities include:<br/><br/></strong><ul><li>Data pipeline development: Designed, implemented, and managed data pipelines for extracting, transforming, and loading data from various sources into data lakes for processing, analytics, and correlation. </li><li>Data modeling: Create and maintain data models ensuring data quality, scalability, and efficiency </li><li>Develop and automate processes to clean, transform, and prepare data for analytics, ensuring data accuracy and consistency </li><li>Data Integration: Integrate data from disparate sources, both structured and unstructured to provide a unified view of key infrastructure platform and application data </li><li>Utilize big data technologies such as Kafka to process and analyze large volumes of data efficiently </li><li>Implement data security measures to protect sensitive information and ensure compliance with data and privacy regulation </li><li>Create/maintain documentation for data processes, data flows, and system configurations </li><li>Performance Optimization- Monitor and optimize data pipelines and systems for performance, scalability and cost-effectiveness <br/><br/></li></ul><strong>Characteristics of this role:<br/><br/></strong><ul><li>Team Player: Willing to teach, share knowledge, and work with others to make the team successful. </li><li>Communication: Exceptional verbal, written, organizational, presentation, and communication skills. </li><li>Creativity: Ability to take written and verbal requirements and come up with other innovative ideas. </li><li>Attention to detail: Systematically and accurately research future solutions and current problems. </li><li>Strong work ethic: The innate drive to do work extremely well. </li><li>Passion: A drive to deliver better products and services than expected to customers. <br/><br/></li></ul><strong>Required Qualifications<br/><br/></strong><ul><li>2+ years of programming experience in languages such as Python, Java, SQL </li><li>2+ years of experience with ETL tools and database management (relational, non-relational) </li><li>2+ years of experience in data modeling techniques and tools to design efficient scalable data structures </li><li>Skills in data quality assessment, data cleansing, and data validation <br/><br/></li></ul><strong>Preferred Qualifications<br/><br/></strong><ul><li>Knowledge of big data technologies and cloud platforms </li><li>Experience with technologies like PySpark, Databricks, and Azure Synapse. <br/><br/></li></ul><strong>Education<br/><br/></strong>Bachelor’s degree in Computer Science, Information Technology, or related field, or equivalent working experience<br/><br/><strong>Why should we work with Fitness Matrix?<br/><br/></strong>Fitness Matrix Inc is the leading provider of holistic and multidimensional health and wellness services. We offer a comprehensive approach to health and wellness. We take into account all aspects of your life, from your physical fitness and nutrition to your mental, emotional, and spiritual well-being. We use the latest science and technology to develop our programs and services. We are constantly innovating and finding new ways to help our clients achieve their goals. We offer a variety of programs and services to meet your needs and budget.<br/><br/>
</div>",$66- $77,Data Engineer
Data Engineer (DE),Zortech Solutions,2023-12-24,https://www.linkedin.com/jobs/view/3787251275,0.0,https://media.licdn.com/dms/image/C4E0BAQFLYN9bJoNeQg/company-logo_100_100/0/1630602268967?e=2147483647&v=beta&t=VbFirFeWDqzftzmA-xuL4-Rh3UkhihCRtFcB66Ze6Cg,"Paradise Valley, AZ","<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
<strong>Role: Data Engineer (DE)<br/><br/></strong><strong>Location: Scottsdale AZ (day 1 onsite)<br/><br/></strong><strong>Duration: Fulltime <br/><br/></strong><strong>Must have skill set: Java , Scala , S3, Glue, Redshift<br/><br/></strong><ul><li>You have 6-8 years of relevant software development experience. </li><li>You have hands-on experience in Java/Scala/Python, Spark, S3, Glue, Redshift. This is critical. </li><li>Highly analytical and data oriented. </li><li>Experience in SQL, NoSql Database </li><li>Data masking of on prem PII data. </li><li>Develop API calls with using secure data transfer. </li><li>Take standard output data to lower environments for pre prod testing! </li><li>Enable secured channels for data models and data science activities. </li><li>Need a solution that can scale to handle millions of data. i.e., masking 10 million records in 15 mins </li><li>You have experience with development tools and agile methodologies.</li></ul>
</div>",No Salary Info Found,Data Engineer
Data Engineer,Sophinea Corporation,2023-12-19,https://www.linkedin.com/jobs/view/3790308997,0.0,https://media.licdn.com/dms/image/C4E0BAQHKGcS2SVjMMw/company-logo_100_100/0/1630602935929?e=2147483647&v=beta&t=n6S3niAlq2wKPznT1N5AljnE-ih5chfyLz6xcSmYBBk,United States,"<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
        Sophinea, a leading computer software company, is seeking a highly skilled and motivated Data Engineer to join our dynamic team. As a Data Engineer, you will play a crucial role in designing, developing, and maintaining our data infrastructure. You will ensure the accuracy, availability, and security of our data, providing critical insights to drive the company's success.<br/><br/>In this role, you will collaborate with cross-functional teams to identify and implement data solutions that align with our business objectives. You will be responsible for optimizing data pipelines, ensuring efficient data extraction, transformation, and loading processes. Additionally, you will contribute to the development and implementation of data governance policies, ensuring compliance and data integrity.<br/><br/>If you have a passion for data engineering, possess strong analytical and problem-solving skills, and excel in a collaborative environment, we would love to hear from you. Join our innovative team and be part of shaping the future of our data-driven company.<br/><br/><strong>Responsibilities<br/><br/></strong><ul><li>Design, develop, and maintain data pipelines for ETL (Extract, Transform, Load) processes</li><li>Collaborate with cross-functional teams to identify data requirements and implement effective data solutions</li><li>Optimize data models and improve the performance of data stores</li><li>Monitor data quality and implement data validation techniques to ensure accuracy and consistency</li><li>Implement effective data security measures and maintain data privacy standards</li><li>Develop and maintain data governance policies and procedures</li><li>Troubleshoot and resolve data-related issues in a timely manner<br/><br/></li></ul><strong>Requirements<br/><br/></strong><ul><li>Bachelor's degree in Computer Science, Information Systems, or a related field</li><li>Proven experience as a Data Engineer or in a similar role</li><li>Strong knowledge of SQL and data modeling techniques</li><li>Proficiency in at least one programming language, such as Python or Java</li><li>Experience with ETL and data integration tools, such as Apache Kafka or Informatica</li><li>Familiarity with cloud-based data platforms, such as AWS or GCP</li><li>Excellent problem-solving and analytical skills</li><li>Strong communication and collaboration abilities</li><li>Ability to work in a fast-paced and dynamic environment</li><li>Attention to detail and commitment to data accuracy and integrity<br/><br/></li></ul><strong>Benefits<br/><br/></strong><ul><li>Health Care Plan (Medical, Dental &amp; Vision)</li><li>Retirement Plan (401k, IRA)</li><li>Life Insurance (Basic, Voluntary &amp; AD&amp;D)</li><li>Paid Time Off (Vacation, Sick &amp; Public Holidays)</li><li>Short Term &amp; Long Term Disability</li><li>Training &amp; Development</li><li>Work From Home</li></ul>
</div>",No Salary Info Found,Data Engineer
Data Engineer,Accroid Inc,2023-12-19,https://www.linkedin.com/jobs/view/3788129009,0.0,https://media.licdn.com/dms/image/D4D0BAQGz_di1atu9CQ/company-logo_100_100/0/1683292700129/accroid_inc_logo?e=2147483647&v=beta&t=OvupgW0oZWw8oodQiV4pXMO4DTI0u9OdLiuevK1eX9s,"Ankeny, IA","<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
<strong>Onsite<br/><br/></strong><strong>Data Engineer <br/><br/></strong><ul><li>Build and maintain data pipelines utilizing Databricks and ADLS.</li><li>Collaborate with cross-functional teams to understand and fulfill data requirements.</li><li>Deliver outputs that align with defined specifications and meet business objectives.</li><li>Provide expertise in data engineering and contribute to the overall success of data-related projects.</li></ul>
</div>",No Salary Info Found,Data Engineer
ETL Data Engineer,Zortech Solutions,2023-12-19,https://www.linkedin.com/jobs/view/3788124368,0.0,https://media.licdn.com/dms/image/C4E0BAQFLYN9bJoNeQg/company-logo_100_100/0/1630602268967?e=2147483647&v=beta&t=VbFirFeWDqzftzmA-xuL4-Rh3UkhihCRtFcB66Ze6Cg,"Georgia, United States","<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
<strong>Note for full time candidates: (Visa Independent Only for FTE)<br/><br/></strong><strong>Role: ETL Data Engineer<br/><br/></strong><strong>Location: Augusta GA (100% Onsite)<br/><br/></strong><strong>Duration: C2C/Fulltime<br/><br/></strong><strong>Job Description<br/><br/></strong><ul><li>Strong hands-on coding experience with 6 to 8 years of experience in ETL </li><li>Hands on exp. on SQL/PL SQL </li><li>Strong hands-on Experience using Azure cloud </li><li>Hands on exp. on Data cloud platforms like Snowflake </li><li>Ability to plan and own the work packets and with minimal supervision or direction is highly desired</li></ul>
</div>",No Salary Info Found,Data Engineer
Data and Analytics Engineer,Jetty,2023-12-19,https://www.linkedin.com/jobs/view/3788131758,0.0,Unable to scrape,Unable to scrape,Unable to scrape,Unable to scrape,Data Engineer
Data Engineer,PA Consulting,2023-12-19,https://www.linkedin.com/jobs/view/3752017186,0.0,https://media.licdn.com/dms/image/D4E0BAQGzMvnsrZOkxA/company-logo_100_100/0/1688328174598/pa_consulting_logo?e=2147483647&v=beta&t=Ec8QVvRnf_DVjk0c5JfZAs23urJGlPyEs7bqBhsMsWM,"Boston, MA","<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
<strong>Company Description<br/><br/></strong>We believe in the power of ingenuity to build a positive human future.<br/><br/>As strategies, technologies and innovation collide, we create opportunity from complexity.<br/><br/>Our diverse teams of experts combine innovative thinking and breakthrough use of technologies to progress further, faster. Our clients adapt and transform, and together we achieve enduring results.<br/><br/>An innovation and transformation consultancy, we are over 4000 specialists in consumer and manufacturing, defence and security, energy and utilities, financial services, government and public services, health and life sciences, and transport. Our people are strategists, innovators, designers, consultants, digital experts, scientists, engineers and technologists. We operate globally from offices across the UK, US, Netherlands and Nordics.<br/><br/>PA. Bringing Ingenuity to Life<br/><br/><strong>Job Description<br/><br/></strong><strong>Your day to day <br/><br/></strong>We’re an innovation and transformation consultancy that believes in the power of ingenuity to build a positive-human future in a technology-driven world. Our diverse teams of experts combine innovative thinking with breakthrough-technologies to progress further, faster.<br/><br/>Are you ready to harness the power of data to drive advancements in healthcare? Are you passionate about designing, building, and maintaining data infrastructure that plays a pivotal role in improving patient outcomes and shaping the future of medicine? If you're seeking a rewarding career at the intersection of healthcare and technology, we invite you to be part of our dynamic team. This is a unique, multi-year, project-based opportunity to build and grow a clinical data registry platform over many years working with a dedicated team of collaborators and customers. As a Data Engineer for our cutting-edge medical data registry, you'll be at the forefront of managing, optimizing, and expanding our data infrastructure, enabling critical insights that can positively impact patient outcomes. If you're excited about leveraging your data engineering skills to make a difference in the world of healthcare, we want to hear from you.<br/><br/><strong>Qualifications<br/><br/></strong>Minimum qualifications:<br/><br/><br/><ul><li>Advanced SQL and Python</li><li>Expertise in the design and construction of Big Data Lakes and Data Warehouses capable of ingesting, standardizing, and serving billions of data rows spanning diverse datasets ranging from tens to hundreds</li><li>Experience building dynamic, metadata driven pipelines and analyses</li><li>Building and managing fully automated data pipelines (ETL, ELT, ELTL) including:</li><ul><li>Designing and building data interfaces to source systems</li><li>Combining and transforming data into the appropriate format for storage</li><li>Developing data sets for analytics purposes</li><li>Developing pipelines that can handle common issues/errors in a robust and automated way</li></ul><li>Cloud experience in Azure, AWS or GCP<br/><br/></li></ul>Preferred qualifications:<br/><br/><br/><ul><li>Spark / PySpark experience highly preferable</li><li>Working in Agile and DevOps environments</li><li>Basic Python, Bash, or PowerShell for automation</li><li>Data modelling – Kimball, Data Vault, Star/Snowflake schema, Query-first etc.</li><li>Data visualisation in Power BI, Tableau, Qlik or similar</li><li>Architecting Data Platforms - designing BI/MI/Analytics solutions using Big Data, Relational or Streaming technologies</li><li>One or more of the following certifications:</li><ul><li>Microsoft Certified: Azure Data Engineer Associate</li><li>AWS Certified Data Analytics - Specialty</li><li>GCP Professional Data Engineers<br/><br/><br/></li></ul></ul><strong>Additional Information<br/><br/></strong>Life At PA encompasses our peoples' experience at PA. It's about how we enrich peoples’ working lives by giving them access to unique people and growth opportunities and purpose led meaningful work.<br/><br/>We believe diversity fuels ingenuity. Diversity of thought brings exciting perspectives; diversity of experience brings a wealth of knowledge, and diversity of skills brings the tools we need. When we bring people together with diverse backgrounds, identities, and minds, embracing that difference through an inclusive culture where our people thrive; we unleash the power of diversity – bringing ingenuity to life. We are dedicated to supporting the physical, emotional, social and financial well-being of our people.<br/><br/>The Salary for this role is between $90,000 - $110,000
      </div>",$90000- $110000,Data Engineer
Software Engineer -Entry Level,Lockheed Martin,2023-12-19,https://www.linkedin.com/jobs/view/3790017200,0.0,https://media.licdn.com/dms/image/C4E0BAQHF1YKEZdN4LA/company-logo_100_100/0/1668532986109/lockheed_martin_logo?e=2147483647&v=beta&t=MAt3FDVkp1mxAnqi-7a-mmVAi8Lcd_S1_XvT0Y_Z40s,"King of Prussia, PA","<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
        At Lockheed Martin Rotary and Mission Systems, we are driven by innovation and integrity. We believe that by applying the highest standards of business ethics and visionary thinking, everything is within our reach – and yours as a Lockheed Martin employee. Lockheed Martin values your skills, training and education. Come and experience your future!<br/><br/>Within the RMS C6ISR Division, we are seeking a motivated and experienced Software Engineer to join our team. The successful candidate will join the Weapons Platform Integration (WPI) portfolio to make an immediate impact on the PIErS project team.<br/><br/>The qualified candidate will have experience developing software in an Agile development environment as part of a scrum team. These roles are largely team based and successful engineers in our organization are able to work and communicate to not only their scrum teams, but cross-team, and to project leadership. The candidate should be comfortable presenting and demonstrating capabilities to both internal leadership and external Customers.
      </div>",No Salary Info Found,Data Engineer
Data Engineer,ASCENDING Inc.,2023-12-19,https://www.linkedin.com/jobs/view/3790307654,0.0,https://media.licdn.com/dms/image/C4D0BAQG4H6mBuWVGQw/company-logo_100_100/0/1631372273839/ascendingllc_logo?e=2147483647&v=beta&t=HqSlWBYB2Htxq8mAj5GFZEzDCI-FyaW7xdBt4yqDPEo,"Fairfax, VA","<div class=""show-more-less-html__markup show-more-less-html__markup--clamp-after-5 relative overflow-hidden"">
<strong>Full-time, 100% Remote<br/><br/>Available for W-2 or 1099 Individual. <br/><br/></strong>Our client, one of the largest Amazon Web Services (AWS) partners for data services, is looking for a true Mid level Big Data Engineer to contribute to join their team of technologists to build and contribute to large-scale, innovative projects. Technological and career growth opportunities are a natural and every day part of the working environment.<br/><br/><strong>Responsibilities:<br/><br/></strong><ul><li>Analyze system requirements and design responsive algorithms and solutions.</li><li>Use big data and cloud technologies to produce production quality code.</li><li>Engage in performance tuning and scalability engineering.</li><li>Work with team, peers and management to identify objectives and set priorities.</li><li>Perform related SDLC engineering activities like sprint planning and estimation.</li><li>Work effectively in small agile teams.</li><li>Provide creative solutions to problems.</li><li>Identify opportunities for improvement and execute.<br/><br/></li></ul><strong>Requirements:<br/><br/></strong><ul><li>Minimum 4 years of proven professional experience working in the IT industry.</li><li>Bachelor's in Computer Science or related domain.</li><li>Experience with cloud based Big Data technologies.</li><li>Experience with big data technologies like Hadoop, Spark and Hive.</li><li>AWS experience (S3 and EMR).</li><li>Proficiency in Hive / Spark SQL / SQL. Experience with Spark.</li><li>Experience with one or more programming languages like Scala &amp; Python &amp; Java.</li><li>Ability to push the frontier of technology and independently pursue better alternatives.<br/><br/></li></ul>Thanks for applying!<br/><br/>Powered by JazzHR<br/><br/>Hv70rUP3Sg
      </div>",No Salary Info Found,Data Engineer
Data Engineer,AddSource,2023-12-20,https://www.linkedin.com/jobs/view/3789020143,0.0,Unable to scrape,Unable to scrape,Unable to scrape,Unable to scrape,Data Engineer
